City,Country,Region,Page,Section,Source,PageViews,TimeOnPage,TotalDownloads,UniqueVisitors,Visits,ConversionRate
Malacca,Malaysia,Asia,/how-it-works,User,Linkedin,290,6700,1,100,450,0.0022
Manila,Philippines,Asia,/gallery,Examples,Linkedin,360,16900,1,156,220,0.0045
Mc Lean,United States,North America,/app/6.0/start,User,Facebook,44,366,0,10,33,0
Mc Lean,United States,North America,/examples,Training,Facebook,37,1454,0,10,22,0
Minato,Japan,Asia,/gallery/topic/Sports,Examples,Facebook,310,6519,1,123,240,0.0042
Moron,Argentina,South America,/download,Register,Linkedin,246,1248,6,60,198,0.0303
New York,United States,North America,/gallery/american-league-offensive,Examples,Organic,21,1290,1,10,44,0.0227
Newark,United States,North America,/gallery/us-population-race,Examples,Organic,35,520,0,10,33,0
Norcross,United States,North America,/knowledgebase/adding-filters-actions-dashboards,User,Organic,38,440,0,8,22,0
North York,Canada,North America,/thanks,User,Facebook,30,2208,0,24,162,0
Ottawa,Canada,North America,/download,Register,Linkedin,72,1188,0,60,126,0
Pittsburgh,United States,North America,/gallery/us-population-race,Examples,Facebook,18,1330,0,10,42,0
Raleigh,United States,North America,/gallery/us-population-race,Examples,Organic,24,810,0,10,44,0
San Diego,United States,North America,/download,Register,Linkedin,14,257,0,10,25,0
Singapore,Singapore,Asia,/gallery,Examples,Linkedin,330,1090,1,100,450,0.0022
Singapore,Singapore,Asia,/how-it-works,User,Linkedin,1080,9690,2,230,450,0.0044
Spring,United States,North America,/download,Register,Facebook,33,119,0,10,54,0
Steenwijk,Netherlands,Europe,/download,Register,Linkedin,400,320,1,80,448,0.0022
Stockholm,Sweden,Europe,/download,Register,Linkedin,450,300,2,100,530,0.0038
Aurich,Germany,Europe,/how-it-works,User,Linkedin,232,8400,8,80,368,0.0217
Bangalore,India,Asia,/download,Register,Organic,174,2610,1,60,312,0.0032
Beijing,China,Asia,/app/6.0/start,User,Facebook,152,7520,1,80,296,0.0034
Brampton,Canada,North America,/download,Register,Linkedin,204,1068,1,60,258,0.0039
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,510,239860,2,400,750,0.0027
Buenos Aires,Argentina,South America,/download,Register,Linkedin,174,7500,6,60,246,0.0244
Bydgoszcz,Poland,Europe,/download,Register,Organic,380,1480,10,160,250,0.04
Calgary,Canada,North America,/examples?build=7000.12.1122.2200,Training,Facebook,66,7500,0,60,162,0
Cali,Colombia,South America,/how-it-works,User,Facebook,1360,2670,2,310,630,0.0032
Fresno,United States,North America,/download,Register,Linkedin,32,119,0,10,38,0
Guangzhou,China,Asia,/gallery,Examples,Linkedin,280,9736,0,80,176,0
Istanbul,Turkey,Europe,/download,Register,Linkedin,110,590,0,100,230,0
Latina,Italy,Europe,/how-it-works,User,Linkedin,728,10920,1,344,840,0.0012
London,United Kingdom,Europe,/gallery/netflix-selector,Examples,Organic,196,5480,1,40,176,0.0057
London,United Kingdom,Europe,/download,Register,Organic,136,4600,0,40,152,0
Matosinhos,Portugal,Europe,/gallery,Examples,Linkedin,500,15000,3,291,530,0.0057
Moron,Argentina,South America,/download,Register,Linkedin,240,4020,1,60,168,0.006
Perth,Australia,Oceania,/knowledgebase/sharing-views,User,Organic,192,9504,0,66,222,0
Pune,India,Asia,/download,Register,Linkedin,246,714,1,60,264,0.0038
Pune,India,Asia,/gallery,Examples,Linkedin,72,4020,0,60,156,0
San Diego,United States,North America,/gallery/deadliest-cities,Examples,Facebook,42,730,0,10,24,0
St-Jean-de-la-Ruelle,France,Europe,/download,Register,Linkedin,136,1184,1,80,336,0.003
Wuhan,China,Asia,/gallery/american-league-offensive,Examples,Organic,128,11360,1,80,360,0.0028
Yogyakarta,Indonesia,Asia,/gallery,Examples,Linkedin,140,3525,1,75,280,0.0036
Yukon,United States,North America,/download,Register,Linkedin,47,178,0,10,29,0
Amstelveen,Netherlands,Europe,/gallery/taleof100,Examples,Linkedin,192,12240,1,80,368,0.0027
Anchorage,United States,North America,/faq,User,Organic,13,574,0,10,57,0
Ardmore,United States,North America,/gallery/gannett-award,Examples,Linkedin,18,780,0,10,35,0
Austin,United States,North America,/datachallenge,User,Organic,16,1147,1,10,51,0.0196
Austin,United States,North America,/download,Register,Organic,36,168,0,10,39,0
Austin,United States,North America,/download,Register,Linkedin,34,168,0,10,25,0
Avellaneda,Argentina,South America,/download,Register,Linkedin,240,7680,0,60,204,0
Barcelona,Spain,Europe,/download,Register,Linkedin,264,8160,1,80,320,0.0031
Barcelona,Spain,Europe,/gallery,Examples,Linkedin,280,4032,0,80,208,0
Beijing,China,Asia,/download,Register,Organic,280,2296,1,80,256,0.0039
Berlin,Germany,Europe,/download,Register,Linkedin,376,3088,1,80,384,0.0026
Boone,United States,North America,/download,Register,Linkedin,22,178,0,10,31,0
Boston,United States,North America,/download,Register,Linkedin,17,277,0,10,58,0
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,1420,43600,1,400,520,0.0019
Bridgewater,United States,North America,/download,Register,Organic,11,1310,0,10,60,0
Brighton,United Kingdom,Europe,/download,Register,Organic,144,908,0,40,116,0
Brighton,United Kingdom,Europe,/faq,User,Organic,152,6400,0,40,104,0
Calgary,Canada,North America,/comparison,User,Organic,240,4140,0,60,282,0
Cheyenne,United States,North America,/download,Register,Linkedin,31,40,0,10,49,0
Chicago,United States,North America,/faq,User,Organic,13,1088,0,10,56,0
Chicago,United States,North America,/gallery/nhl-players-go-abroad,Examples,Twitter,13,2265,0,10,37,0
Chungli,Taiwan,Asia,/knowledgebase/best-practices-designing-piecees-and-dashboards,User,Organic,640,30380,3,310,410,0.0073
Clermont-Ferrand,France,Europe,/download,Register,Linkedin,296,3600,1,80,344,0.0029
Concord,United States,North America,/download,Register,Linkedin,27,138,0,10,48,0
Dallas,United States,North America,/gallery,Examples,Facebook,20,148,0,10,26,0
Derby,United Kingdom,Europe,/how-it-works,User,Linkedin,188,3560,1,40,220,0.0045
Dublin,Ireland,Europe,/gallery/london-bus,Examples,Facebook,490,12400,2,100,510,0.0039
East Greenbush,United States,North America,/gallery,Examples,Linkedin,38,930,0,10,39,0
Easton,United States,North America,/download,Register,Linkedin,48,59,0,10,48,0
Eskisehir,Turkey,Europe,/download,Register,Linkedin,330,3070,2,130,460,0.0043
Fareham,United Kingdom,Europe,/faq,User,Organic,92,4192,0,40,156,0
Hackensack,United States,North America,/gallery/deadliest-cities,Examples,Twitter,21,690,0,10,20,0
Hamburg,Germany,Europe,/download,Register,Linkedin,104,9840,2,80,400,0.005
Hangzhou,China,Asia,/gallery/graffiti,Examples,Organic,272,3360,1,80,328,0.003
Jacksonville,United States,North America,/how-it-works,User,Linkedin,21,1540,0,10,53,0
Kyiv,Ukraine,Europe,/download,Register,Linkedin,410,890,1,100,510,0.002
Lancaster,United States,North America,/gallery/analysis-teeth,Examples,Organic,13,1750,0,10,21,0
London,United Kingdom,Europe,/knowledgebase/sharing-views,User,Twitter,444,9972,0,132,236,0
London,United Kingdom,Europe,/download,Register,Facebook,132,592,4,40,144,0.0278
Macon,United States,North America,/download,Register,Linkedin,13,247,0,10,51,0
Madrid,Spain,Europe,/upgrade,User,Linkedin,352,6328,1,168,400,0.0025
Maitland,United States,North America,/gallery/shooting-heatmaps,Examples,Facebook,27,1510,0,10,31,0
Mexico City,Mexico,North America,/knowledgebase/all?page=1,User,Organic,90,4550,1,30,310,0.0032
Middleton,United States,North America,/gallery,Examples,Linkedin,40,1350,0,10,46,0
Milton,Canada,North America,/gallery/nhl-players-go-abroad,Examples,Facebook,144,4080,0,60,228,0
Milwaukee,United States,North America,/gallery/college-football-recruiting,Examples,Facebook,17,69,1,10,40,0.025
Minneapolis,United States,North America,/download,Register,Linkedin,44,1680,0,10,23,0
Montreal,Canada,North America,/download,Register,Linkedin,108,888,1,60,192,0.0052
Nashville,United States,North America,/app/6.0/start,User,Facebook,67,4352,0,20,46,0
Nashville,United States,North America,/gallery/london-bus,Examples,Organic,31,640,0,10,26,0
New Brunswick,United States,North America,/download,Register,Linkedin,22,267,0,10,38,0
New Delhi,India,Asia,/gallery/visualizing-global-poverty-trends,Examples,Organic,264,4020,1,60,258,0.0039
New Westminster,Canada,North America,/examples,Training,Facebook,78,3660,0,60,300,0
New York,United States,North America,/gallery/deadliest-cities,Examples,Twitter,40,1290,0,10,54,0
Oxford,United Kingdom,Europe,/faq,User,Organic,180,988,0,40,208,0
Paris,France,Europe,/download,Register,Organic,152,1264,1,80,432,0.0023
Pasadena,United States,North America,/gallery/high-school-graduation-rates,Examples,Organic,41,1320,0,10,56,0
Peterborough,Canada,North America,/examples,Training,Organic,120,51396,1,60,336,0.003
Plano,United States,North America,/download,Register,Organic,17,148,0,10,45,0
Portland,United States,North America,/how-it-works,User,Organic,23,138,0,8,38,0
Porto,Portugal,Europe,/gallery,Examples,Linkedin,210,117410,1,89,330,0.003
Porto,Portugal,Europe,/gallery/taleof100,Examples,Linkedin,260,8410,1,65,330,0.003
Richmond,Canada,North America,/download,Register,Facebook,132,2550,1,60,222,0.0045
Rosario,Argentina,South America,/how-it-works,User,Linkedin,180,8100,0,60,228,0
Rotterdam,Netherlands,Europe,/faq,User,Organic,168,14160,1,80,288,0.0035
s Gravenhage,Netherlands,Europe,/gallery/nhl-players-go-abroad,Examples,Linkedin,176,4320,1,80,264,0.0038
Seattle,United States,North America,/download,Register,Organic,29,1190,0,10,46,0
Seattle,United States,North America,/gallery,Examples,Linkedin,18,237,0,10,37,0
Seattle,United States,North America,/comparison,User,Organic,36,470,0,10,31,0
Sheffield,United Kingdom,Europe,/how-it-works,User,Facebook,132,4920,0,40,160,0
Singapore,Singapore,Asia,/download,Register,Organic,310,13900,1,100,330,0.003
Solna,Sweden,Europe,/gallery/spending-president,Examples,Linkedin,130,16900,1,100,530,0.0019
State College,United States,North America,/download,Register,Twitter,47,2480,1,20,48,0.0208
Sydney,Australia,Oceania,/knowledgebase/all?page=1,User,Organic,438,11520,1,120,384,0.0026
Teddington,United Kingdom,Europe,/terms,User,Linkedin,476,40,1,132,256,0.0039
Tempe,United States,North America,/gallery,Examples,Facebook,15,138,0,10,30,0
Toronto,Canada,North America,/gallery/topic/Travel-and-Lifestyle,Examples,Organic,270,120,0,60,204,0
Vantaa,Finland,Europe,/how-it-works,User,Linkedin,830,2470,10,270,730,0.0137
Vantaa,Finland,Europe,/examples,Training,Linkedin,320,9500,2,100,550,0.0036
Vantaa,Finland,Europe,/gallery,Examples,Linkedin,220,13300,0,100,220,0
Waltham,United States,North America,/download,Register,Linkedin,23,109,0,10,21,0
West Chester,United States,North America,/download,Register,Facebook,47,208,0,10,44,0
Winkler,Canada,North America,/gallery/cost-big-mac-around-globe,Examples,Organic,180,2460,6,60,174,0.0345
Zurich,Switzerland,Europe,/download,Register,Linkedin,340,890,1,100,340,0.0029
Arlington,United States,North America,/gallery,Examples,Linkedin,46,1000,1,10,44,0.0227
Atlanta,United States,North America,/gallery/nhl-players-go-abroad,Examples,Facebook,39,712,0,10,30,0
Augusta,United States,North America,/knowledgebase/sharing-views,User,Organic,82,99,0,34,71,0
Barcelona,Spain,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,192,4272,1,80,168,0.006
Beijing,China,Asia,/gallery,Examples,Linkedin,184,8400,0,80,184,0
Belem,Brazil,South America,/download,Register,Linkedin,264,792,1,80,336,0.003
Boone,United States,North America,/gallery,Examples,Organic,25,750,0,10,53,0
Boone,United States,North America,/gallery/college-football-recruiting,Examples,Organic,38,1600,0,10,49,0
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,1980,85260,3,490,780,0.0038
Brisbane,Australia,Oceania,/download,Register,Linkedin,246,1188,0,60,186,0
Brussels,Belgium,Europe,/gallery,Examples,Facebook,160,17600,1,100,360,0.0028
Bryan,United States,North America,/gallery,Examples,Linkedin,20,584,0,10,29,0
Buenos Aires,Argentina,South America,/gallery/messi039s-86-goals,Examples,Linkedin,516,18000,1,180,432,0.0023
Buenos Aires,Argentina,South America,/download,Register,Linkedin,288,6660,0,60,132,0
Charlotte,United States,North America,/gallery/topic/Travel-and-Lifestyle,Examples,Organic,28,59,0,10,44,0
Charlotte,United States,North America,/gallery/nhl-players-go-abroad,Examples,Twitter,26,1600,0,10,31,0
Chicago,United States,North America,/gallery/how-burn-most-calories,Examples,Facebook,23,1410,1,10,25,0.04
Circle Pines,United States,North America,/gallery,Examples,Linkedin,49,148,0,10,40,0
Davidson,United States,North America,/knowledgebase/all?page=1,User,Organic,60,1876,0,14,44,0
Denver,United States,North America,/gallery,Examples,Twitter,18,544,0,10,54,0
Dublin,Ireland,Europe,/upgrade,User,Facebook,410,4000,1,100,310,0.0032
Durham,United States,North America,/download,Register,Linkedin,22,593,0,10,40,0
Framingham,United States,North America,/gallery/topic/Sports,Examples,Organic,23,590,0,10,55,0
Framingham,United States,North America,/gallery/which-country-uses-most-oil,Examples,Organic,16,1110,0,10,45,0
Getzville,United States,North America,/gallery/spending-president,Examples,Facebook,18,770,0,10,38,0
Grand Rapids,United States,North America,/faq,User,Organic,12,326,0,10,37,0
Gurgaon,India,Asia,/gallery,Examples,Linkedin,240,888,1,60,252,0.004
Houston,United States,North America,/gallery,Examples,Linkedin,16,613,0,10,34,0
Hull,Canada,North America,/gallery,Examples,Linkedin,180,828,6,60,312,0.0192
Las Vegas,United States,North America,/gallery/messi039s-86-goals,Examples,Twitter,41,660,0,10,52,0
Lomas de Zamora,Argentina,South America,/gallery,Examples,Linkedin,126,3300,0,60,168,0
London,United Kingdom,Europe,/download,Register,Facebook,96,2080,0,40,200,0
London,United Kingdom,Europe,/gallery/making-pay-gap-look-good,Examples,Organic,184,2572,0,40,196,0
London,United Kingdom,Europe,/gallery,Examples,Organic,132,2452,0,40,80,0
Los Angeles,United States,North America,/gallery,Examples,Linkedin,22,69,0,10,36,0
Louisville,United States,North America,/gallery/nhl-players-go-abroad,Examples,Organic,30,1780,1,10,41,0.0244
Manchester,United Kingdom,Europe,/gallery,Examples,Linkedin,56,356,0,40,152,0
Meudon,France,Europe,/knowledgebase/sharing-views,User,Facebook,928,19488,1,232,368,0.0027
New York,United States,North America,/gallery/deadliest-cities,Examples,Facebook,19,6696,0,10,60,0
New York,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,44,770,0,10,60,0
New York,United States,North America,/how-it-works,User,Organic,34,1610,0,10,50,0
New York,United States,North America,/gallery,Examples,Organic,28,208,0,10,29,0
Ningbo,China,Asia,/gallery/graffiti,Examples,Organic,256,11200,1,80,200,0.005
Oakland,United States,North America,/knowledgebase/sharing-views,User,Facebook,43,2460,0,20,48,0
Palo Alto,United States,North America,/gallery/nhl-players-go-abroad,Examples,Twitter,27,396,0,10,29,0
Phoenix,United States,North America,/gallery/case-shiller-0,Examples,Facebook,89,1140,0,20,61,0
Pittsburgh,United States,North America,/gallery/nhl-players-go-abroad,Examples,Facebook,14,1130,0,10,42,0
Plano,United States,North America,/upgrade,User,Organic,101,2829,0,34,76,0
Portland,United States,North America,/gallery/nhl-players-go-abroad,Examples,Facebook,12,880,0,10,25,0
Rafaela,Argentina,South America,/gallery/messi039s-86-goals,Examples,Linkedin,96,12702,0,60,210,0
Ridgewood,United States,North America,/knowledgebase/sharing-views,User,Linkedin,31,2700,0,15,44,0
Rochester,United States,North America,/how-it-works,User,Linkedin,123,5994,0,29,44,0
Roswell,United States,North America,/download,Register,Linkedin,47,840,0,10,24,0
Sandy,United States,North America,/download,Register,Linkedin,50,148,1,10,31,0.0323
Santiago,Chile,South America,/download,Register,Linkedin,460,10700,1,100,340,0.0029
Scotts Valley,United States,North America,/knowledgebase/sharing-views,User,Facebook,77,3441,0,31,49,0
Seattle,United States,North America,/gallery/nhl-players-go-abroad,Examples,Facebook,47,730,0,10,57,0
Seattle,United States,North America,/gallery,Examples,Linkedin,22,20722,0,10,57,0
Skillman,United States,North America,/gallery/nhl-players-go-abroad,Examples,Linkedin,27,1520,0,10,36,0
South San Francisco,United States,North America,/knowledgebase/sharing-views,User,Facebook,79,3427,0,23,51,0
St Louis,United States,North America,/app/6.0/start,User,Facebook,68,1360,0,20,49,0
St Louis,United States,North America,/download,Register,Linkedin,12,89,0,10,30,0
State College,United States,North America,/download,Register,Twitter,36,30,0,10,31,0
Stockholm,Sweden,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,320,6200,2,100,500,0.004
Teddington,United Kingdom,Europe,/gallery/30-years-cd,Examples,Organic,184,4120,4,40,180,0.0222
Toronto,Canada,North America,/gallery/nhl-players-go-abroad,Examples,Facebook,234,4800,6,60,192,0.0313
Vantaa,Finland,Europe,/how-it-works,User,Linkedin,110,2080,1,90,550,0.0018
Villa Maria,Argentina,South America,/download,Register,Linkedin,276,57570,0,60,132,0
Vincente Lopez,Argentina,South America,/gallery/messi039s-86-goals,Examples,Linkedin,78,10740,0,60,300,0
White Plains,United States,North America,/download,Register,Facebook,35,3175,0,10,22,0
Wolverhampton,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,184,2000,0,40,88,0
Alviso,United States,North America,/download,Register,Linkedin,49,69,0,10,39,0
Ann Arbor,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,19,690,1,10,34,0.0294
Arlington Heights,United States,North America,/gallery/nhl-players-go-abroad,Examples,Linkedin,33,910,1,10,31,0.0323
Austin,United States,North America,/how-it-works,User,Facebook,10,603,0,2,47,0
Austin,United States,North America,/gallery/making-pay-gap-look-good,Examples,Facebook,40,1570,0,10,33,0
Avellaneda,Argentina,South America,/download,Register,Linkedin,234,3420,0,60,192,0
Baltimore,United States,North America,/how-it-works,User,Linkedin,49,148,0,33,69,0
Barcelona,Spain,Europe,/gallery/messi039s-86-goals,Examples,Facebook,216,7200,1,80,200,0.005
Blackburn,United Kingdom,Europe,/gallery/topic/Sports,Examples,Organic,120,4920,0,40,104,0
Bletchley,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,148,2652,0,40,92,0
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,930,103760,2,300,450,0.0044
Brighton,United Kingdom,Europe,/how-it-works,User,Linkedin,276,316,0,100,188,0
Brighton,United Kingdom,Europe,/faq,User,Organic,124,1544,0,40,148,0
Buenos Aires,Argentina,South America,/download,Register,Linkedin,282,24156,0,60,174,0
Buenos Aires,Argentina,South America,/gallery/messi039s-86-goals,Examples,Linkedin,174,5880,0,60,120,0
Calgary,Canada,North America,/knowledgebase/all?page=1,User,Organic,474,1722,1,138,282,0.0035
Canberra,Australia,Oceania,/gallery/taleof100,Examples,Linkedin,270,3300,1,60,216,0.0046
Charlottesville,United States,North America,/how-it-works,User,Linkedin,34,218,0,17,38,0
Chennai,India,Asia,/download,Register,Organic,114,3420,1,60,336,0.003
Chicago,United States,North America,/gallery/messi039s-86-goals,Examples,Twitter,17,1690,0,10,58,0
Chicago,United States,North America,/gallery/cost-college-football-wins,Examples,Facebook,25,1090,0,10,37,0
Cordoba,Argentina,South America,/download,Register,Linkedin,72,9360,1,60,156,0.0064
Denver,United States,North America,/thanks,User,Organic,68,5411,0,20,58,0
Denver,United States,North America,/download,Register,Organic,26,178,0,10,54,0
Espoo,Finland,Europe,/download,Register,Linkedin,260,12300,2,100,500,0.004
Espoo,Finland,Europe,/how-it-works,User,Linkedin,190,8300,1,100,450,0.0022
Fullerton,United States,North America,/faq,User,Organic,30,500,0,10,58,0
Fullerton,United States,North America,/examples,Training,Organic,50,730,0,10,45,0
Grapevine,United States,North America,/gallery/college-football-recruiting,Examples,Facebook,34,1610,0,10,53,0
Greer,United States,North America,/how-it-works,User,Facebook,18,376,0,10,59,0
Grimsby,United Kingdom,Europe,/download,Register,Linkedin,72,1464,0,40,212,0
Gurgaon,India,Asia,/gallery,Examples,Linkedin,282,9240,6,60,360,0.0167
Helsinki,Finland,Europe,/download,Register,Organic,200,2180,1,100,300,0.0033
Horning,Denmark,Europe,/gallery,Examples,Linkedin,420,3260,1,100,380,0.0026
Hyderabad,India,Asia,/upgrade,User,Facebook,300,21000,0,168,318,0
Indianapolis,United States,North America,/gallery/messi039s-86-goals,Examples,Twitter,42,700,0,10,20,0
Jacksonville,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,48,247,1,10,41,0.0244
Leuven,Belgium,Europe,/download,Register,Linkedin,390,6600,1,100,200,0.005
Libertyville,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,40,840,0,10,23,0
London,United Kingdom,Europe,/faq,User,Organic,140,5960,4,40,220,0.0182
London,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Organic,160,4240,1,40,212,0.0047
London,United Kingdom,Europe,/download,Register,Linkedin,184,3120,4,40,84,0.0476
Long Beach,United States,North America,/how-it-works,User,Linkedin,123,940,0,27,45,0
Louisville,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,49,1260,0,10,54,0
Mason City,United States,North America,/gallery/spending-president,Examples,Organic,39,530,0,10,57,0
Melbourn,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Twitter,152,3204,4,40,200,0.02
Memphis,United States,North America,/knowledgebase/all?page=1,User,Organic,20,504,1,6,29,0.0345
Minato,Japan,Asia,/gallery,Examples,Linkedin,300,3600,0,120,200,0
New York,United States,North America,/comparison,User,Organic,14,1770,0,10,60,0
New York,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,36,1260,0,10,30,0
Norcross,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,19,1260,0,10,36,0
Oakland,United States,North America,/download,Register,Linkedin,50,89,0,10,56,0
Overland Park,United States,North America,/knowledgebase/all?page=1,User,Organic,109,2532,0,31,76,0
Overland Park,United States,North America,/gallery,Examples,Organic,46,40,0,10,33,0
Pearl River,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,22,700,0,10,60,0
Phoenix,United States,North America,/gallery,Examples,Linkedin,25,267,0,10,56,0
Phoenix,United States,North America,/how-it-works,User,Linkedin,13,1280,0,10,53,0
Rosario,Argentina,South America,/gallery,Examples,Linkedin,198,3144,0,60,126,0
s Gravenhage,Netherlands,Europe,/gallery/messi039s-86-goals,Examples,Facebook,152,11920,2,80,456,0.0044
Salerno,Italy,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,144,4320,0,80,160,0
San Rafael,United States,North America,/how-it-works,User,Facebook,25,1340,0,10,44,0
San Rafael,United States,North America,/gallery/case-shiller-0,Examples,Facebook,38,890,0,10,35,0
Seabrook,United States,North America,/gallery,Examples,Facebook,46,119,0,10,39,0
Seabrook,United States,North America,/how-it-works,User,Facebook,74,69,0,18,28,0
Seattle,United States,North America,/gallery,Examples,Organic,10,158,0,10,59,0
Seattle,United States,North America,/download,Register,Facebook,31,534,0,10,55,0
Seattle,United States,North America,/gallery/making-pay-gap-look-good,Examples,Linkedin,39,1520,0,10,48,0
Seattle,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,26,1590,0,10,25,0
Shibuya,Japan,Asia,/how-it-works,User,Linkedin,920,13500,1,270,460,0.0022
Shibuya,Japan,Asia,/faq,User,Organic,260,3600,1,100,430,0.0023
Shibuya,Japan,Asia,/gallery/cost-college-football-wins,Examples,Linkedin,110,3500,10,100,330,0.0303
South Bend,United States,North America,/how-it-works,User,Linkedin,33,40,0,7,25,0
Sydney,Australia,Oceania,/gallery,Examples,Organic,198,714,1,60,198,0.0051
Tallahassee,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,37,1160,1,10,47,0.0213
Teddington,United Kingdom,Europe,/how-it-works,User,Facebook,416,102316,1,100,216,0.0046
Teddington,United Kingdom,Europe,/gallery/corruption-index,Examples,Linkedin,156,6600,0,40,156,0
Teddington,United Kingdom,Europe,/gallery/30-years-cd,Examples,Organic,92,13120,0,80,136,0
Torino,Italy,Europe,/how-it-works,User,Linkedin,304,12160,0,80,240,0
Toronto,Canada,North America,/upgrade,User,Twitter,204,2196,0,42,120,0
Vicente Lopez,Argentina,South America,/how-it-works,User,Linkedin,114,9960,1,60,168,0.006
Vienna,Austria,Europe,/download,Register,Linkedin,210,7600,1,100,550,0.0018
Washington,United States,North America,/gallery,Examples,Linkedin,44,1650,0,10,40,0
Wellington,New Zealand,Oceania,/how-it-works,User,Facebook,300,11000,2,150,570,0.0035
Wellington,New Zealand,Oceania,/download,Register,Facebook,370,5700,3,230,280,0.0107
Zaanstad,Netherlands,Europe,/gallery/iposvsnasdaq,Examples,Organic,144,552,1,80,392,0.0026
Adelaide,Australia,Oceania,/gallery,Examples,Linkedin,162,10140,1,60,306,0.0033
Ahmedabad,India,Asia,/how-it-works,User,Linkedin,60,8160,0,60,306,0
Apex,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,24,1740,0,10,46,0
Arlington Heights,United States,North America,/gallery/nhl-players-go-abroad,Examples,Linkedin,15,790,0,10,24,0
Atlanta,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,34,830,0,10,54,0
Austin,United States,North America,/download,Register,Linkedin,31,89,0,10,57,0
Austin,United States,North America,/gallery/messi039s-86-goals,Examples,Twitter,94,1720,0,20,39,0
Austin,United States,North America,/gallery,Examples,Linkedin,34,1039,1,10,27,0.037
Bangkok,Thailand,Asia,/download,Register,Linkedin,290,12800,1,100,410,0.0024
Bath,United Kingdom,Europe,/gallery,Examples,Linkedin,72,6120,0,40,168,0
Blandford Forum,United Kingdom,Europe,/gallery/cost-big-mac-around-globe,Examples,Organic,76,1640,0,40,92,0
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,730,29200,2,400,700,0.0029
Brighton,United Kingdom,Europe,/download,Register,Twitter,132,552,0,40,148,0
Brisbane,Australia,Oceania,/gallery/messi039s-86-goals,Examples,Organic,270,7860,1,60,330,0.003
Brisbane,Australia,Oceania,/gallery/forest-fire-hot-spots,Examples,Organic,66,8760,0,60,126,0
Brookfield,United States,North America,/gallery/cost-college-football-wins,Examples,Facebook,34,1510,0,10,27,0
Buenos Aires,Argentina,South America,/download,Register,Linkedin,228,2316,1,180,468,0.0021
Buenos Aires,Argentina,South America,/thanks,User,Facebook,708,37566,1,198,366,0.0027
Buenos Aires,Argentina,South America,/how-it-works,User,Facebook,354,3798,0,180,330,0
Cambridge,United States,North America,/gallery,Examples,Linkedin,22,356,0,10,26,0
Charlotte,United States,North America,/gallery/cost-college-football-wins,Examples,Twitter,46,1290,0,10,29,0
Chennai,India,Asia,/download,Register,Organic,156,10680,1,60,192,0.0052
Chicago,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,29,811,0,10,57,0
Chicago,United States,North America,/examples,Training,Linkedin,30,1690,0,10,55,0
Circle Pines,United States,North America,/gallery/case-shiller-0,Examples,Facebook,35,3560,0,20,38,0
Claymont,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,28,1260,0,10,24,0
Cleveland,United States,North America,/gallery,Examples,Linkedin,34,1420,0,10,39,0
Colorado Springs,United States,North America,/download,Register,Linkedin,45,138,0,10,20,0
Columbus,United States,North America,/gallery/cost-college-football-wins,Examples,Facebook,21,1530,0,10,51,0
Concord,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,24,1340,0,10,46,0
Creteil,France,Europe,/gallery,Examples,Linkedin,304,10640,1,80,472,0.0021
Cupertino,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,32,1520,0,10,27,0
Dallas,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,19,930,0,10,27,0
Dansville,United States,North America,/gallery/cost-college-football-wins,Examples,Twitter,23,790,0,10,41,0
Darien,United States,North America,/gallery/cost-college-football-wins,Examples,Facebook,13,1700,0,10,33,0
Deerfield Beach,United States,North America,/how-it-works,User,Facebook,11,1620,0,10,46,0
Denver,United States,North America,/gallery/cost-college-football-wins,Examples,Linkedin,20,1460,0,10,37,0
Des Plaines,United States,North America,/download,Register,Organic,49,307,0,10,52,0
